term,soc,version,aliases,g1,g2,g3,g4,g5,definition,note,page
Mediastinal infection,Infections and infestations,CTCAE v6.0,,-,-,"IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving the mediastinum.,-,118
Meningitis,Infections and infestations,CTCAE v6.0,,-,-,"IV antibiotic, antifungal, or antiviral intervention indicated; steroid therapy indicated; severe changes in mental status; self-limited seizure activity; neurologic abnormalities",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious or inflammatory process of the meninges of the brain and/or spinal cord.,Consider Infections and infestations: Aseptic meningitis.,119
Meningoencephalitis,Infections and infestations,CTCAE v6.0,,-,-,"IV antibiotic, antifungal, or antiviral intervention indicated; steroid therapy indicated; severe changes in mental status; self-limited seizure activity; neurologic abnormalities",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious or inflammatory process involving the meninges and the brain tissue.,-,119
Mucosal infection,Infections and infestations,CTCAE v6.0,,"Localized, local intervention indicated","Oral intervention indicated (e.g., antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving a mucosal surface.,-,119
Myelitis,Infections and infestations,CTCAE v6.0,,"Asymptomatic; mild signs (e.g., Babinski's reflex or Lhermitte's sign)",Moderate weakness or sensory loss; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe weakness or sensory loss; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by inflammation involving the spinal cord. Symptoms include weakness, paresthesia, sensory loss, marked discomfort and incontinence.",-,120
Nail infection,Infections and infestations,CTCAE v6.0,,"Localized, local intervention indicated","Oral intervention indicated (e.g., antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",-,-,A disorder characterized by an infectious process involving the nail.,-,120
Otitis externa,Infections and infestations,CTCAE v6.0,,"Localized, local intervention indicated","Oral intervention indicated (e.g., antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by an infectious process involving the outer ear and ear canal. Contributory factors include excessive water exposure (swimmer's ear infection) and cuts in the ear canal. Symptoms include fullness, itching, swelling and marked discomfort in the ear and ear drainage.","Changes associated with radiation to external ear (pinnae) are graded under Injury, poisoning and procedural complications: Dermatitis radiation.",120
Otitis media,Infections and infestations,CTCAE v6.0,,-,"Localized; oral intervention indicated (e.g., antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving the middle ear.,-,121
Ovarian infection,Infections and infestations,CTCAE v6.0,,-,"Localized; oral intervention indicated (e.g., antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving the ovary.,-,121
Pancreas infection,Infections and infestations,CTCAE v6.0,,-,-,"IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving the pancreas.,-,121
Paronychia,Infections and infestations,CTCAE v6.0,,Nail fold edema or erythema; disruption of the cuticle,"Local intervention indicated; oral intervention indicated (e.g., antibiotic, antifungal, antiviral); nail fold edema or erythema with pain; associated with discharge or nail plate separation; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric)",Operative intervention indicated; IV antibiotics indicated; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by an infectious process involving the soft tissues around the nail.,-,122
Pelvic infection,Infections and infestations,CTCAE v6.0,,-,"Moderate symptoms; oral intervention indicated (e.g., antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving the pelvic cavity.,-,122
Penile infection,Infections and infestations,CTCAE v6.0,,"Localized, local intervention indicated","Oral intervention indicated (e.g., antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving the penis.,-,122
Periorbital infection,Infections and infestations,CTCAE v6.0,,-,"Localized; local intervention indicated (e.g., topical antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process near or around the orbit of the eye.,-,123
Peripheral nerve infection,Infections and infestations,CTCAE v6.0,,-,"Localized; local intervention indicated (e.g., topical antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving the peripheral nerves.,-,123
Peritoneal infection,Infections and infestations,CTCAE v6.0,,-,-,"IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving the peritoneum.,-,123
Pharyngitis,Infections and infestations,CTCAE v6.0,,-,"Oral intervention indicated (e.g., antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by inflammation of the throat.,"For Grade 1 Consider Respiratory, thoracic and mediastinal disorders: Sore throat.",124
Phlebitis infective,Infections and infestations,CTCAE v6.0,,"Localized, local intervention indicated","Oral intervention indicated (e.g., antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,"A disorder characterized by an infectious process involving the vein. Clinical manifestations include erythema, marked discomfort, swelling, and induration along the course of the infected vein.",-,124
Pleural infection,Infections and infestations,CTCAE v6.0,,-,"Oral intervention indicated (e.g., antibiotic, antifungal, or antiviral)","IV antibiotic, antifungal, or antiviral intervention indicated; invasive intervention indicated",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an infectious process involving the pleura.,-,124
